Name,Website,City,Owner,Type
"Yi Yang, M.D.",https://www.sutterhealth.org/find-provider/dr-yi-yang-1046249884,San Jose,Unknown,Dermatologist
Dermatology & Laser of Del Mar,https://www.dermdelmar.com/,Del Mar,Deborah H. Atkin,Dermatologist
Phoenix Surgical Dermatology Group,http://www.psdermgroup.com/,Phoenix,Unknown,Skin Care Clinic
Salt Lake Dermatology and Aesthetics,https://www.saltlakedermatology.com/,Salt Lake City,Dr. Michael Sotiriou,Dermatologist
The Skin Clinics,http://www.theskinclinics.com/,Germantown,Unknown,Medical Spa
Specialists In Dermatology PLLC,https://www.specialistsindermatology.com/,Tucson,Dr. Weimin K. Hu,Medical Center
Central Oregon Aesthetics,https://centraloregonaesthetics.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,Bend,Lexi Dudoit,Medical Spa
Treasure Valley Dermatology & Skin Cancer Center,https://www.dermatologyboise.com/,Meridian,Unknown,Dermatologist
Scripps Clinic Laser and Cosmetic Dermatology Center,https://www.scripps.org/services/dermatology/laser-and-cosmetic-dermatology,San Diego,Unknown,Skin Care Clinic
"Michael J. Huether, MD",http://www.azskincancer.com/,Tucson,Unknown,Dermatologist
Columbia Laser Skin Center,https://columbialaserskincenter.com/,The Dalles,Unknown,Medical Spa
Dehesa Dermatology,https://www.dehesadermatology.com/,Clovis,Unknown,Dermatologist
SANTÉ Aesthetics & Regenerative Medicine,https://santepdx.com/,Portland,Unknown,Medical Clinic
NEO Dermatology,https://www.neodermatology.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,Beachwood,"Meredith Reimer, MD",Dermatologist
Laser & Skin Surgery Center of New York,https://www.laserskinsurgery.com/contact/new-york-city/?utm_source=seo_gmb&utm_medium=gmb&utm_campaign=home_page,New York,Roy G. Geronemus,Skin Care Clinic
Skin By Summer,https://linktr.ee/skin.by.summer,Salem,Unknown,Skin Care Clinic
"Adam M. Rotunda, M.D., P.C., Mohs",http://www.newportskincancer.com/,Newport Beach,Unknown,Dermatologist
Ada West Dermatology,http://www.adawestdermatology.com/,Meridian,Randall Burr,Dermatologist
Pima Dermatology,https://pimaderm.com/?utm_source=google&utm_medium=organic&utm_campaign=GMB,Tucson,Unknown,Skin Care Clinic
Houston Dermatology Specialists,https://houstondermatologyspecialists.com/?utm_source=google&utm_medium=local&utm_campaign=houston-practice-website,Houston,Unknown,Dermatologist
Nevada Center for Dermatology,https://www.nevadaderm.com/,Reno,Unknown.,Dermatologist
Cara Mia Dermatology,https://www.advancedderm.com/locations/colorado/denver/2970-quebec-st-ste-200,Denver,Unknown,Skin Care Clinic
Reston Dermatology + Cosmetic Center,https://restondermatology.com/,Reston,Syed Amiry,Dermatologist
White Lotus Aesthetics & Wellness,http://www.whitelotusmedaesthetics.com/,Salem,Kristi Winn,Medical Spa
Alpha Medical Aesthetics,https://alphamedicalaesthetics.com/,Las Vegas,Sassan Kaveh,Medical Spa
Alliance Dermatology,http://www.alliancehealthmo.com/,Cape Girardeau,Jennifer Icaza-Gast and Josh Gast.,Skin Care Clinic
Skin Cancer and Dermatology Institute - Moana,https://skincancerderm.com/reno/,Reno,Unknown,Dermatologist
The Aesthetic Clinic,http://www.theaestheticclinicmo.com/,Festus,Kylie Melton,Medical Spa
Dianalynn Esthetics,https://dianalynnesthetics.glossgenius.com/,College Place,Diana McCauley,Skin Care Clinic
Skin Enthusiast Lisa Nunes,http://skinenthusiastlisa.com/,Bend,Lisa Nunes,Skin Care Clinic
Dermatology & Laser Surgery Center,https://www.dermlasersurgery.com/?utm_source=googlemybusiness&utm_medium=organic&utm_campaign=dermatology+laser+surgery+center+houston+tx,Houston,Paul M. Friedman,Dermatologist
Vibe Aesthetics,https://vibeaestheticsmedspa.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,Hood River,Unknown,Medical Spa
Center For Aesthetic Medicine,https://www.centerforaestheticmedicine.com/,Las Vegas,"Heather Rohrer, DMSc, MPAS, PA-C.",Medical Spa
Phoenixville Valley Forge Dermatology Associates,https://phoenixvillevalleyforgedermatology.com/,Phoenixville,Unknown,Dermatologist
Dermatology Center Of Atlanta,https://dermatology-atlanta.com/,Johns Creek,Unknown,Dermatologist
"Seaver L. Soon, MD; The Skin Clinic MD",http://www.theskinclinicmd.com/,San Diego,"Seaver L. Soon, MD",Dermatologist
About Face Skincare,https://www.aboutfaceskincare.com/,Philadelphia,Unknown,Medical Spa
"Bluebird Skin Therapy + Aesthetics | Julie Natoli, PA-C and Heidi Holmes, PA-C",https://bluebirdskintherapy.com/,Bend,Julie Natoli,Skin Care Clinic
Brooklyn Aesthetics & Dermatology,https://www.brooklynaesthetics.com/,Unknown,"Boris Itskovich, MD",Medical Spa
Bend Dermatology Clinic - Prineville,https://bendderm.com/,Prineville,Unknown.,Dermatologist
Dermatology - Hattiesburg Clinic,https://www.hattiesburgclinic.com/department/dermatology/,Hattiesburg,"Founders: Ramsay O'Neal, MD, and Glen T. Pearson, MD
CEO: Bryan N. Batson, MD",Dermatologist
El Paso Dermatology,http://elpasodermatology.com/,El Paso,"Michael Simpson, MD and Brenda Michelle Simpson, MD.",Skin Care Clinic
Kian Aesthetic Institute,https://www.thekianinstitute.com/,Los Angeles,Kian Karimi.,Medical Spa
Blossom Beautifully Medical Aesthetics & Wellness,https://blossombeautifullymedicalaesthetics.com/,Silverton,Unknown,Medical Spa
Macias Dermatology -Fresno,http://www.maciasdermatology.com/,Fresno,Edgar Macias.,Dermatologist
VIDA Aesthetic Medicine Salem,https://vidaskincare.com/?utm_campaign=gmb&utm_content=website_link&utm_medium=organic&utm_source=google,Salem,Unknown,Medical Spa
Tucson Aesthetics,https://tucsonazaesthetics.com/,Tucson,Dr. Gabe Schmidtke and Kellie Schmidtke.,Medical Spa
Phoenix Skin Medical Surgical Group,https://www.phxskin.com/phoenix-skin-medical/locations/,Phoenix,"Lee P. Laris, D.O.",Skin Care Clinic
Aster Aesthetics,https://asteraesthetic.com/,Salem,Unknown,Medical Spa
Salt Aesthetics,https://www.saltbend.com/,Bend,Suzanne Puryear and Shannon Patterson.,Medical Spa
Ironwood Dermatology,https://www.ironwooddermatology.org/?utm_source=Google%20My%20Business,Tucson,Fiona Behr,Dermatologist
The Aesthetic Laboratory,https://aestheticlaboratory.square.site/,Salem,Unknown.,Skin Care Clinic
Walla Walla Aesthetics + Wellness,http://www.wwaestheticsandwellness.com/,Walla Walla,Unknown,Medical Spa
Golden State Dermatology,https://www.goldenstatedermatology.com/fresno/?y_source=1_MTAwNDU1MTA3NC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,Fresno,Ed Becker,Dermatologist
Clear Choice Dermatology - Salem,https://www.clearchoicederm.com/schedule/appointment/new-salem-location,Salem,Collin Blattner.,Dermatologist
Atlanta Acne Specialists Decatur,https://atlantaacnespecialists.com/,Decatur,Teri Eastin,Skin Care Clinic
Dermatology + Aesthetics - Lakeview,https://www.vitalskinderm.com/locations/lakeview/?utm_source=gmb&utm_medium=organic&utm_campaign=lakeview,Chicago,"Drs. Keren Horn, Meyer Horn, and Neha Robinson founded Dermatology + Aesthetics in July 2007. Dermatology + Aesthetics is now affiliated with VitalSkin Dermatology, where Todd Petersen serves as the Chief Executive Officer.",Dermatologist
AIYANA med Salem,https://aiyanamed.com/,Salem,Rebecca Kelly is the founder of AIYANA med Salem.,Women's Health Clinic
The Clinic for Medical Aesthetics,https://theclinicmn.com/,Minneapolis,Dana Orr,Medical Spa
Clear Skin Solutions,https://clearskinsolutions.com/,Ardmore,"Mary Bickley, Jenny Diaz, Nyki Dobson, and Amelia.",Skin Care Clinic
